t,vid,type,hop
24.7,car_02,COLLISION,1
24.8,car_02,COLLISION,1
24.8,car_02,COLLISION,1
24.9,car_02,COLLISION,1
24.9,car_02,COLLISION,1
24.9,car_02,COLLISION,1
25.0,car_02,COLLISION,1
25.0,car_02,COLLISION,1
25.0,car_02,COLLISION,1
25.0,car_02,COLLISION,1
25.1,car_02,COLLISION,1
25.1,car_02,COLLISION,1
25.1,car_02,COLLISION,1
25.1,car_02,COLLISION,1
25.1,car_02,COLLISION,1
25.2,car_02,COLLISION,1
25.2,car_02,COLLISION,1
25.2,car_02,COLLISION,1
25.2,car_02,COLLISION,1
25.2,wrong_way_01,WRONG_WAY,1
25.3,car_02,COLLISION,1
25.3,car_02,COLLISION,1
25.3,wrong_way_01,WRONG_WAY,1
25.3,car_02,COLLISION,1
25.3,wrong_way_01,WRONG_WAY,1
25.4,wrong_way_01,WRONG_WAY,1
25.4,car_02,COLLISION,1
25.4,wrong_way_01,WRONG_WAY,1
25.4,car_02,COLLISION,1
25.4,wrong_way_01,WRONG_WAY,1
25.5,wrong_way_01,WRONG_WAY,1
25.5,car_02,COLLISION,1
25.5,wrong_way_01,WRONG_WAY,1
25.5,car_02,COLLISION,1
25.5,wrong_way_01,WRONG_WAY,1
25.6,wrong_way_01,WRONG_WAY,1
25.6,car_02,COLLISION,1
25.6,wrong_way_01,WRONG_WAY,1
25.6,car_02,COLLISION,1
25.6,wrong_way_01,WRONG_WAY,1
25.7,wrong_way_01,WRONG_WAY,1
25.7,car_02,COLLISION,1
25.7,wrong_way_01,WRONG_WAY,1
25.7,car_02,COLLISION,1
25.7,wrong_way_01,WRONG_WAY,1
25.8,wrong_way_01,WRONG_WAY,1
25.8,car_02,COLLISION,1
25.8,car_03,COLLISION,1
25.8,car_03,COLLISION,1
25.8,wrong_way_01,WRONG_WAY,1
25.9,wrong_way_01,WRONG_WAY,1
25.9,car_02,COLLISION,1
25.9,car_03,COLLISION,1
25.9,car_03,COLLISION,1
25.9,wrong_way_01,WRONG_WAY,1
26.0,wrong_way_01,WRONG_WAY,1
26.0,car_02,COLLISION,1
26.0,car_03,COLLISION,1
26.0,car_03,COLLISION,1
26.0,wrong_way_01,WRONG_WAY,1
26.1,wrong_way_01,WRONG_WAY,1
26.1,car_02,COLLISION,1
26.1,car_03,COLLISION,1
26.1,car_03,COLLISION,1
26.1,wrong_way_01,WRONG_WAY,1
26.2,wrong_way_01,WRONG_WAY,1
26.2,car_02,COLLISION,1
26.2,car_03,COLLISION,1
26.2,car_03,COLLISION,1
26.2,wrong_way_01,WRONG_WAY,1
26.3,wrong_way_01,WRONG_WAY,1
26.3,car_02,COLLISION,1
26.3,car_03,COLLISION,1
26.3,car_03,COLLISION,1
26.3,wrong_way_01,WRONG_WAY,1
26.4,car_03,COLLISION,1
26.4,car_03,COLLISION,1
26.4,wrong_way_01,WRONG_WAY,1
26.4,car_03,COLLISION,1
26.4,car_03,COLLISION,1
26.5,car_03,COLLISION,1
26.5,car_02,COLLISION,1
26.5,car_03,COLLISION,1
26.5,car_03,COLLISION,1
26.5,wrong_way_01,WRONG_WAY,1
26.6,wrong_way_01,WRONG_WAY,1
26.6,car_02,COLLISION,1
26.6,car_03,COLLISION,1
26.6,car_03,COLLISION,1
26.6,wrong_way_01,WRONG_WAY,1
26.7,wrong_way_01,WRONG_WAY,1
26.7,car_02,COLLISION,1
26.7,car_03,COLLISION,1
26.7,car_03,COLLISION,1
26.7,wrong_way_01,WRONG_WAY,1
26.8,wrong_way_01,WRONG_WAY,1
26.8,car_02,COLLISION,1
26.8,car_03,COLLISION,1
26.8,car_03,COLLISION,1
26.8,wrong_way_01,WRONG_WAY,1
26.9,wrong_way_01,WRONG_WAY,1
26.9,car_02,COLLISION,1
26.9,car_03,COLLISION,1
26.9,car_03,COLLISION,1
26.9,wrong_way_01,WRONG_WAY,1
27.0,wrong_way_01,WRONG_WAY,1
27.0,car_02,COLLISION,1
27.0,car_03,COLLISION,1
27.0,car_03,COLLISION,1
27.0,wrong_way_01,WRONG_WAY,1
27.1,wrong_way_01,WRONG_WAY,1
27.1,car_02,COLLISION,1
27.1,car_03,COLLISION,1
27.1,car_03,COLLISION,1
27.1,wrong_way_01,WRONG_WAY,1
27.2,wrong_way_01,WRONG_WAY,1
27.2,car_02,COLLISION,1
27.2,car_03,COLLISION,1
27.2,car_03,COLLISION,1
27.2,wrong_way_01,WRONG_WAY,1
27.3,wrong_way_01,WRONG_WAY,1
27.3,car_02,COLLISION,1
27.3,car_03,COLLISION,1
27.3,car_03,COLLISION,1
27.3,wrong_way_01,WRONG_WAY,1
27.4,wrong_way_01,WRONG_WAY,1
27.4,car_02,COLLISION,1
27.4,car_03,COLLISION,1
27.4,car_03,COLLISION,1
27.4,wrong_way_01,WRONG_WAY,1
27.5,wrong_way_01,WRONG_WAY,1
27.5,car_02,COLLISION,1
27.5,car_03,COLLISION,1
27.5,car_03,COLLISION,1
27.5,wrong_way_01,WRONG_WAY,1
27.6,wrong_way_01,WRONG_WAY,1
27.6,car_02,COLLISION,1
27.6,car_03,COLLISION,1
27.6,car_03,COLLISION,1
27.6,wrong_way_01,WRONG_WAY,1
27.7,car_05,COLLISION,1
27.7,car_05,COLLISION,1
27.7,car_05,COLLISION,1
27.7,car_05,COLLISION,1
27.7,wrong_way_01,WRONG_WAY,1
27.8,car_03,COLLISION,1
27.8,car_05,COLLISION,1
27.8,car_05,COLLISION,1
27.8,car_05,COLLISION,1
27.8,wrong_way_01,WRONG_WAY,1
27.9,car_05,COLLISION,1
27.9,car_05,COLLISION,1
27.9,car_05,COLLISION,1
27.9,car_05,COLLISION,1
27.9,wrong_way_01,WRONG_WAY,1
28.0,car_05,COLLISION,1
28.0,car_05,COLLISION,1
28.0,car_05,COLLISION,1
28.0,car_05,COLLISION,1
28.0,wrong_way_01,WRONG_WAY,1
28.1,car_05,COLLISION,1
28.1,car_05,COLLISION,1
28.1,car_05,COLLISION,1
28.1,car_05,COLLISION,1
28.1,wrong_way_01,WRONG_WAY,1
28.2,car_05,COLLISION,1
28.2,car_05,COLLISION,1
28.2,car_05,COLLISION,1
28.2,car_05,COLLISION,1
28.2,wrong_way_01,WRONG_WAY,1
28.3,car_05,COLLISION,1
28.3,car_05,COLLISION,1
28.3,car_05,COLLISION,1
28.3,car_05,COLLISION,1
28.3,wrong_way_01,WRONG_WAY,1
28.4,car_05,COLLISION,1
28.4,car_05,COLLISION,1
28.4,car_05,COLLISION,1
28.4,car_05,COLLISION,1
28.4,wrong_way_01,WRONG_WAY,1
28.5,car_05,COLLISION,1
28.5,car_05,COLLISION,1
28.5,car_05,COLLISION,1
28.5,car_05,COLLISION,1
28.5,wrong_way_01,WRONG_WAY,1
28.6,car_06,COLLISION,1
28.6,car_06,COLLISION,1
28.6,car_06,COLLISION,1
28.6,car_06,COLLISION,1
28.6,wrong_way_01,WRONG_WAY,1
28.7,car_06,COLLISION,1
28.7,car_06,COLLISION,1
28.7,car_06,COLLISION,1
28.7,car_06,COLLISION,1
28.7,wrong_way_01,WRONG_WAY,1
28.8,car_06,COLLISION,1
28.8,car_06,COLLISION,1
28.8,car_06,COLLISION,1
28.8,car_06,COLLISION,1
28.8,wrong_way_01,WRONG_WAY,1
28.9,car_06,COLLISION,1
28.9,car_06,COLLISION,1
28.9,car_06,COLLISION,1
28.9,car_06,COLLISION,1
28.9,wrong_way_01,WRONG_WAY,1
29.0,car_06,COLLISION,1
29.0,car_06,COLLISION,1
29.0,car_06,COLLISION,1
29.0,car_06,COLLISION,1
29.0,wrong_way_01,WRONG_WAY,1
29.1,car_06,COLLISION,1
29.1,car_06,COLLISION,1
29.1,car_06,COLLISION,1
29.1,car_06,COLLISION,1
29.1,wrong_way_01,WRONG_WAY,1
29.2,car_06,COLLISION,1
29.2,car_06,COLLISION,1
29.2,car_06,COLLISION,1
29.2,car_06,COLLISION,1
29.2,wrong_way_01,WRONG_WAY,1
29.3,car_06,COLLISION,1
29.3,car_06,COLLISION,1
29.3,car_06,COLLISION,1
29.3,car_06,COLLISION,1
29.3,wrong_way_01,WRONG_WAY,1
29.4,car_06,COLLISION,1
29.4,car_06,COLLISION,1
29.4,car_06,COLLISION,1
29.4,car_06,COLLISION,1
29.4,wrong_way_01,WRONG_WAY,1
29.5,car_06,COLLISION,1
29.5,car_06,COLLISION,1
29.5,car_06,COLLISION,1
29.5,car_06,COLLISION,1
29.5,wrong_way_01,WRONG_WAY,1
29.6,car_06,COLLISION,1
29.6,car_06,COLLISION,1
29.6,car_06,COLLISION,1
29.6,car_06,COLLISION,1
29.6,wrong_way_01,WRONG_WAY,1
29.7,car_06,COLLISION,1
29.7,car_06,COLLISION,1
29.7,car_06,COLLISION,1
29.7,car_06,COLLISION,1
29.7,wrong_way_01,WRONG_WAY,1
29.8,car_06,COLLISION,1
29.8,car_06,COLLISION,1
29.8,car_06,COLLISION,1
29.8,car_06,COLLISION,1
29.8,wrong_way_01,WRONG_WAY,1
29.9,car_06,COLLISION,1
29.9,car_06,COLLISION,1
29.9,car_06,COLLISION,1
29.9,car_06,COLLISION,1
29.9,wrong_way_01,WRONG_WAY,1
30.0,car_06,COLLISION,1
30.0,car_06,COLLISION,1
30.0,car_06,COLLISION,1
30.0,car_06,COLLISION,1
30.0,wrong_way_01,WRONG_WAY,1
30.1,car_06,COLLISION,1
30.1,car_06,COLLISION,1
30.1,car_06,COLLISION,1
30.1,car_06,COLLISION,1
30.1,wrong_way_01,WRONG_WAY,1
30.2,car_06,COLLISION,1
30.2,car_06,COLLISION,1
30.2,car_06,COLLISION,1
30.2,car_06,COLLISION,1
30.2,wrong_way_01,WRONG_WAY,1
30.3,car_06,COLLISION,1
30.3,car_06,COLLISION,1
30.3,car_06,COLLISION,1
30.3,car_06,COLLISION,1
30.3,wrong_way_01,WRONG_WAY,1
30.4,car_06,COLLISION,1
30.4,car_06,COLLISION,1
30.4,car_06,COLLISION,1
30.4,car_06,COLLISION,1
30.4,wrong_way_01,WRONG_WAY,1
30.5,car_06,COLLISION,1
30.5,car_06,COLLISION,1
30.5,car_06,COLLISION,1
30.5,car_06,COLLISION,1
30.5,wrong_way_01,WRONG_WAY,1
30.6,car_06,COLLISION,1
30.6,car_06,COLLISION,1
30.6,car_06,COLLISION,1
30.6,car_06,COLLISION,1
30.6,wrong_way_01,WRONG_WAY,1
30.7,car_06,COLLISION,1
30.7,car_06,COLLISION,1
30.7,car_06,COLLISION,1
30.7,car_06,COLLISION,1
30.7,wrong_way_01,WRONG_WAY,1
30.8,car_06,COLLISION,1
30.8,car_06,COLLISION,1
30.8,car_06,COLLISION,1
30.8,car_06,COLLISION,1
30.8,wrong_way_01,WRONG_WAY,1
30.9,car_06,COLLISION,1
30.9,car_06,COLLISION,1
30.9,car_06,COLLISION,1
30.9,car_06,COLLISION,1
30.9,wrong_way_01,WRONG_WAY,1
31.0,car_06,COLLISION,1
31.0,car_06,COLLISION,1
31.0,car_06,COLLISION,1
31.0,car_06,COLLISION,1
31.0,wrong_way_01,WRONG_WAY,1
31.1,car_06,COLLISION,1
31.1,car_06,COLLISION,1
31.1,car_06,COLLISION,1
31.1,car_06,COLLISION,1
31.1,wrong_way_01,WRONG_WAY,1
31.2,car_10,COLLISION,1
31.2,car_10,COLLISION,1
31.2,car_10,COLLISION,1
31.2,car_10,COLLISION,1
31.2,wrong_way_01,WRONG_WAY,1
31.3,car_10,COLLISION,1
31.3,car_10,COLLISION,1
31.3,car_10,COLLISION,1
31.3,car_10,COLLISION,1
31.3,wrong_way_01,WRONG_WAY,1
31.4,car_10,COLLISION,1
31.4,car_10,COLLISION,1
31.4,car_10,COLLISION,1
31.4,car_10,COLLISION,1
